Symbol,Name,Sector,Industry,Exchange
AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,nyse
AVX,AVX Corporation,Capital Goods,Electrical Products,nyse
AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings,nyse
AXS,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers,nyse
AX,"Axos Financial, Inc.",Finance,Savings Institutions,nyse
AXO,"Axos Financial, Inc.",Finance,Savings Institutions,nyse
AZUL,Azul S.A.,Transportation,Air Freight/Delivery Services,nyse
AZRE,Azure Power Global Limited,Public Utilities,Electric Utilities: Central,nyse
AZZ,AZZ Inc.,Consumer Durables,Building Products,nyse
BANC,"Banc of California, Inc.",Finance,Major Banks,nyse
BAC,Bank of America Corporation,Finance,Major Banks,nyse
B,"Barnes Group, Inc.",Capital Goods,Metal Fabrications,nyse
BAS,"Basic Energy Services, Inc.",Energy,Oilfield Services/Equipment,nyse
BAF,BlackRock Income Investment Quality Trust,,,nyse
APRN,"Blue Apron Holdings, Inc.",Consumer Services,Catalog/Specialty Distribution,nyse
BA,Boeing Company (The),Capital Goods,Aerospace,nyse
BAH,Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services,nyse
BAM,Brookfield Asset Management Inc,Consumer Services,Building operators,nyse
BAP,Credicorp Ltd.,Finance,Commercial Banks,nyse
AQUA,Evoqua Water Technologies Corp.,Technology,Industrial Machinery/Components,nyse
AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies,nyse
AG,First Majestic Silver Corp.,Basic Industries,Precious Metals,nyse
AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts,nyse
AJXA,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts,nyse
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",Transportation,Aerospace,nyse
AVAL,Grupo Aval Acciones y Valores S.A.,Finance,Commercial Banks,nyse
ASG,"Liberty All-Star Growth Fund, Inc.",,,nyse
AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",Energy,Oil & Gas Production,nyse
AGS,"PlayAGS, Inc.",Consumer Durables,Miscellaneous manufacturing industries,nyse
APTS,"Preferred Apartment Communities, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
AES,The AES Corporation,Basic Industries,Electric Utilities: Central,nyse
AUY,Yamana Gold Inc.,Basic Industries,Precious Metals,nyse
